id,match_id,city,match_date,season,match_number,team1,team2,toss_winner,toss_decision,superover,result,winning_team,won_by,margin,winner_runs,winner_wickets,player_of_match,venue,umpire1,umpire2
249,1304115,Mumbai,21-05-2022,2022,69,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,5,0,5,JJ Bumrah,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma
250,1304116,Mumbai,22-05-2022,2022,70,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,N,normal,Punjab Kings,Wickets,5,0,5,Harpreet Brar,"Wankhede Stadium, Mumbai",AK Chaudhary,NA Patwardhan
251,1312197,Kolkata,24-05-2022,2022,71,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,N,normal,Gujarat Titans,Wickets,7,0,7,DA Miller,"Eden Gardens, Kolkata",BNJ Oxenford,VK Sharma
252,1312198,Kolkata,25-05-2022,2022,72,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,N,normal,Royal Challengers Bangalore,Runs,14,14,0,RM Patidar,"Eden Gardens, Kolkata",J Madanagopal,MA Gough
253,1312199,Ahmedabad,27-05-2022,2022,73,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,7,0,7,JC Buttler,"Narendra Modi Stadium, Ahmedabad",CB Gaffaney,Nitin Menon
254,1312200,Ahmedabad,29-05-2022,2022,74,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,N,normal,Gujarat Titans,Wickets,7,0,7,HH Pandya,"Narendra Modi Stadium, Ahmedabad",CB Gaffaney,Nitin Menon
255,1359475,Ahmedabad,31-03-2023,2023,1,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,N,normal,Gujarat Titans,Wickets,5,0,5,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,HAS Khalid
256,1359476,Chandigarh,01-04-2023,2023,2,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Punjab Kings,Runs,7,7,0,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",BNJ Oxenford,YC Barde
257,1359477,Lucknow,01-04-2023,2023,3,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,N,normal,Lucknow Super Giants,Runs,50,50,0,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,NA Patwardhan
258,1359479,Bengaluru,02-04-2023,2023,5,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Royal Challengers Bangalore,Wickets,8,0,8,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma
259,1359478,Hyderabad,02-04-2023,2023,4,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Rajasthan Royals,Runs,72,72,0,JC Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,R Pandit
260,1359480,Chennai,03-04-2023,2023,6,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,N,normal,Chennai Super Kings,Runs,12,12,0,MM Ali,"MA Chidambaram Stadium, Chepauk, Chennai",A Totre,BNJ Oxenford
261,1359481,Delhi,04-04-2023,2023,7,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,N,normal,Gujarat Titans,Wickets,6,0,6,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",A Nand Kishore,GR Sadashiv Iyer
262,1359482,Guwahati,05-04-2023,2023,8,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,N,normal,Punjab Kings,Runs,5,5,0,NT Ellis,"Barsapara Cricket Stadium, Guwahati",KN Ananthapadmanabhan,MV Saidharshan Kumar
263,1359483,Kolkata,06-04-2023,2023,9,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Kolkata Knight Riders,Runs,81,81,0,SN Thakur,"Eden Gardens, Kolkata",Vinod Seshan,VK Sharma
264,1359484,Lucknow,07-04-2023,2023,10,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,N,normal,Lucknow Super Giants,Wickets,5,0,5,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",J Madanagopal,YC Barde
265,1359485,Guwahati,08-04-2023,2023,11,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,N,normal,Rajasthan Royals,Runs,57,57,0,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Navdeep Singh,MV Saidharshan Kumar
266,1359486,Mumbai,08-04-2023,2023,12,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,7,0,7,RA Jadeja,"Wankhede Stadium, Mumbai",CB Gaffaney,NA Patwardhan
267,1359487,Ahmedabad,09-04-2023,2023,13,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,N,normal,Kolkata Knight Riders,Wickets,3,0,3,RK Singh,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Tapan Sharma
268,1359488,Hyderabad,09-04-2023,2023,14,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Sunrisers Hyderabad,Wickets,8,0,8,S Dhawan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,UV Gandhe
269,1359489,Bengaluru,10-04-2023,2023,15,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,N,normal,Lucknow Super Giants,Wickets,1,0,1,N Pooran,"M Chinnaswamy Stadium, Bengaluru",AK Chaudhary,A Nand Kishore
270,1359490,Delhi,11-04-2023,2023,16,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,6,0,6,RG Sharma,"Arun Jaitley Stadium, Delhi",MA Gough,R Pandit
271,1359491,Chennai,12-04-2023,2023,17,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,N,normal,Rajasthan Royals,Runs,3,3,0,R Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",Vinod Seshan,VK Sharma
272,1359492,Chandigarh,13-04-2023,2023,18,Punjab Kings,Gujarat Titans,Gujarat Titans,field,N,normal,Gujarat Titans,Wickets,6,0,6,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",A Totre,J Madanagopal
273,1359493,Kolkata,14-04-2023,2023,19,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Sunrisers Hyderabad,Runs,23,23,0,HC Brook,"Eden Gardens, Kolkata",CB Gaffaney,GR Sadashiv Iyer
274,1359494,Bengaluru,15-04-2023,2023,20,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,N,normal,Royal Challengers Bangalore,Runs,23,23,0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,MV Saidharshan Kumar
275,1359495,Lucknow,15-04-2023,2023,21,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,N,normal,Punjab Kings,Wickets,2,0,2,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",HAS Khalid,VK Sharma
276,1359496,Mumbai,16-04-2023,2023,22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,5,0,5,VR Iyer,"Wankhede Stadium, Mumbai",BNJ Oxenford,UV Gandhe
277,1359497,Ahmedabad,16-04-2023,2023,23,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,3,0,3,SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,CB Gaffaney
278,1359498,Bengaluru,17-04-2023,2023,24,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Chennai Super Kings,Runs,8,8,0,DP Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh
279,1359499,Hyderabad,18-04-2023,2023,25,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Mumbai Indians,Runs,14,14,0,C Green,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Nitin Menon,Vinod Seshan
280,1359500,Jaipur,19-04-2023,2023,26,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,N,normal,Lucknow Super Giants,Runs,10,10,0,MP Stoinis,"Sawai Mansingh Stadium, Jaipur",J Madanagopal,YC Barde
281,1359501,Chandigarh,20-04-2023,2023,27,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,N,normal,Royal Challengers Bangalore,Runs,24,24,0,Mohammed Siraj,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",AK Chaudhary,GR Sadashiv Iyer
282,1359502,Delhi,20-04-2023,2023,28,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,N,normal,Delhi Capitals,Wickets,4,0,4,I Sharma,"Arun Jaitley Stadium, Delhi",MA Gough,R Pandit
283,1359503,Chennai,21-04-2023,2023,29,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,7,0,7,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",HAS Khalid,VK Sharma
284,1359504,Lucknow,22-04-2023,2023,30,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,N,normal,Gujarat Titans,Runs,7,7,0,MM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",A Totre,RJ Tucker
285,1359505,Mumbai,22-04-2023,2023,31,Punjab Kings,Mumbai Indians,Mumbai Indians,field,N,normal,Punjab Kings,Runs,13,13,0,SM Curran,"Wankhede Stadium, Mumbai",CB Gaffaney,GR Sadashiv Iyer
286,1359507,Kolkata,23-04-2023,2023,33,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Chennai Super Kings,Runs,49,49,0,AM Rahane,"Eden Gardens, Kolkata",Nitin Menon,Tapan Sharma
287,1359506,Bengaluru,23-04-2023,2023,32,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,N,normal,Royal Challengers Bangalore,Runs,7,7,0,GJ Maxwell,"M Chinnaswamy Stadium, Bengaluru",MA Gough,MV Saidharshan Kumar
288,1359508,Hyderabad,24-04-2023,2023,34,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,N,normal,Delhi Capitals,Runs,7,7,0,AR Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",J Madanagopal,RJ Tucker
289,1359509,Ahmedabad,25-04-2023,2023,35,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,N,normal,Gujarat Titans,Runs,55,55,0,A Manohar,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,A Nand Kishore
290,1359510,Bengaluru,26-04-2023,2023,36,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Kolkata Knight Riders,Runs,21,21,0,CV Varun,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,R Pandit
291,1359511,Jaipur,27-04-2023,2023,37,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,N,normal,Rajasthan Royals,Runs,32,32,0,YBK Jaiswal,"Sawai Mansingh Stadium, Jaipur",A Totre,YC Barde
292,1359512,Chandigarh,28-04-2023,2023,38,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,N,normal,Lucknow Super Giants,Runs,56,56,0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan
293,1359513,Kolkata,29-04-2023,2023,39,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,N,normal,Gujarat Titans,Wickets,7,0,7,J Little,"Eden Gardens, Kolkata",NA Patwardhan,GR Sadashiv Iyer
294,1359514,Delhi,29-04-2023,2023,40,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,N,normal,Sunrisers Hyderabad,Runs,9,9,0,MR Marsh,"Arun Jaitley Stadium, Delhi",MA Gough,Navdeep Singh
295,1359515,Chennai,30-04-2023,2023,41,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,N,normal,Punjab Kings,Wickets,4,0,4,DP Conway,"MA Chidambaram Stadium, Chepauk, Chennai",RJ Tucker,UV Gandhe
296,1359516,Mumbai,30-04-2023,2023,42,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,N,normal,Mumbai Indians,Wickets,6,0,6,YBK Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,VK Sharma
297,1359517,Lucknow,01-05-2023,2023,43,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,N,normal,Royal Challengers Bangalore,Runs,18,18,0,F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,GR Sadashiv Iyer
298,1359518,Ahmedabad,02-05-2023,2023,44,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,N,normal,Delhi Capitals,Runs,5,5,0,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",MA Gough,R Pandit
299,1359520,Chandigarh,03-05-2023,2023,46,Punjab Kings,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,6,0,6,Ishan Kishan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",J Madanagopal,RJ Tucker
300,1359519,Lucknow,03-05-2023,2023,45,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,N,no result,No result,No result,0,0,0,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,NA Patwardhan
301,1359521,Hyderabad,04-05-2023,2023,47,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,N,normal,Kolkata Knight Riders,Runs,5,5,0,CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,MA Gough
302,1359522,Jaipur,05-05-2023,2023,48,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,N,normal,Gujarat Titans,Wickets,9,0,9,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",HAS Khalid,VK Sharma
303,1359523,Chennai,06-05-2023,2023,49,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,6,0,6,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,Navdeep Singh
304,1359524,Delhi,06-05-2023,2023,50,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,N,normal,Delhi Capitals,Wickets,7,0,7,PD Salt,"Arun Jaitley Stadium, Delhi",RJ Tucker,YC Barde
305,1359525,Ahmedabad,07-05-2023,2023,51,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,N,normal,Gujarat Titans,Runs,56,56,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,A Nand Kishore
306,1359526,Jaipur,07-05-2023,2023,52,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,N,normal,Sunrisers Hyderabad,Wickets,4,0,4,GD Phillips,"Sawai Mansingh Stadium, Jaipur",Nitin Menon,Vinod Seshan
307,1359527,Kolkata,08-05-2023,2023,53,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,N,normal,Kolkata Knight Riders,Wickets,5,0,5,AD Russell,"Eden Gardens, Kolkata",A Totre,J Madanagopal
308,1359528,Mumbai,09-05-2023,2023,54,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,6,0,6,SA Yadav,"Wankhede Stadium, Mumbai",HAS Khalid,VK Sharma
309,1359529,Chennai,10-05-2023,2023,55,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,N,normal,Chennai Super Kings,Runs,27,27,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,NA Patwardhan
310,1359530,Kolkata,11-05-2023,2023,56,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,9,0,9,YBK Jaiswal,"Eden Gardens, Kolkata",RJ Tucker,MV Saidharshan Kumar
311,1359531,Mumbai,12-05-2023,2023,57,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,N,normal,Mumbai Indians,Runs,27,27,0,SA Yadav,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma
312,1359533,Delhi,13-05-2023,2023,59,Punjab Kings,Delhi Capitals,Delhi Capitals,field,N,normal,Punjab Kings,Runs,31,31,0,P Simran Singh,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan
313,1359532,Hyderabad,13-05-2023,2023,58,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,N,normal,Lucknow Super Giants,Wickets,7,0,7,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",A Totre,J Madanagopal
314,1359534,Jaipur,14-05-2023,2023,60,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,N,normal,Royal Challengers Bangalore,Runs,112,112,0,WD Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh
315,1359535,Chennai,14-05-2023,2023,61,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,N,normal,Kolkata Knight Riders,Wickets,6,0,6,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan
316,1359536,Ahmedabad,15-05-2023,2023,62,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Gujarat Titans,Runs,34,34,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",J Madanagopal,UV Gandhe
317,1359537,Lucknow,16-05-2023,2023,63,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,N,normal,Lucknow Super Giants,Runs,5,5,0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,A Nand Kishore
318,1359538,Dharamsala,17-05-2023,2023,64,Delhi Capitals,Punjab Kings,Punjab Kings,field,N,normal,Delhi Capitals,Runs,15,15,0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",KN Ananthapadmanabhan,MV Saidharshan Kumar
319,1359539,Hyderabad,18-05-2023,2023,65,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Royal Challengers Bangalore,Wickets,8,0,8,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,VK Sharma
320,1359540,Dharamsala,19-05-2023,2023,66,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,4,0,4,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",A Nand Kishore,RJ Tucker
321,1359541,Delhi,20-05-2023,2023,67,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,N,normal,Chennai Super Kings,Runs,77,77,0,RD Gaikwad,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan
322,1359542,Kolkata,20-05-2023,2023,68,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,N,normal,Lucknow Super Giants,Runs,1,1,0,N Pooran,"Eden Gardens, Kolkata",J Madanagopal,UV Gandhe
323,1359543,Mumbai,21-05-2023,2023,69,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,N,normal,Mumbai Indians,Wickets,8,0,8,C Green,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,RJ Tucker
324,1359544,Bengaluru,21-05-2023,2023,70,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,N,normal,Gujarat Titans,Wickets,6,0,6,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,VK Sharma
325,1370350,Chennai,23-05-2023,2023,71,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,N,normal,Chennai Super Kings,Runs,15,15,0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",AK Chaudhary,CB Gaffaney
326,1370351,Chennai,24-05-2023,2023,72,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,N,normal,Mumbai Indians,Runs,81,81,0,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,VK Sharma
327,1370352,Ahmedabad,26-05-2023,2023,73,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,N,normal,Gujarat Titans,Runs,62,62,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker
328,1370353,Ahmedabad,29-05-2023,2023,74,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,N,normal,Chennai Super Kings,Wickets,5,0,5,DP Conway,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker
